               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031976,            0.014133,             0.01665,             0.82441,             0.96421,             0.93039,              0.6418,            0.019503,           0.0055466,            0.007341,              0.0712,              0.0032,              0.0032
                   1,            0.039509,             0.01344,            0.016422,             0.59624,             0.91778,             0.77154,             0.48044,            0.025282,           0.0054053,           0.0072315,            0.040427,           0.0054275,           0.0054275
                   2,            0.044546,            0.013727,            0.016839,             0.55537,             0.96549,             0.79738,              0.3601,             0.02722,           0.0054691,           0.0072027,            0.008566,            0.006566,            0.006566
                   3,             0.03992,            0.013036,            0.014818,             0.59871,             0.92568,             0.86622,             0.50344,            0.021916,           0.0052961,           0.0070297,             0.00505,             0.00505,             0.00505
                   4,            0.039543,            0.012675,            0.015193,             0.85528,             0.95426,             0.95568,             0.59504,            0.020088,           0.0052318,           0.0067578,             0.00505,             0.00505,             0.00505
                   5,            0.035365,            0.013032,            0.014787,             0.94978,             0.97897,             0.95661,             0.67692,            0.016292,           0.0051567,           0.0064285,              0.0034,              0.0034,              0.0034
