               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030649,            0.012274,            0.012838,             0.95133,             0.97176,             0.98929,               0.717,            0.017792,           0.0047018,           0.0070266,              0.0712,              0.0032,              0.0032
                   1,            0.035707,            0.011904,            0.012317,             0.68051,             0.98411,             0.87395,             0.57731,            0.024129,           0.0047056,           0.0071579,            0.040427,           0.0054275,           0.0054275
                   2,            0.038268,            0.012435,            0.013485,             0.60737,             0.96465,             0.84219,             0.42591,            0.032862,           0.0047913,            0.007675,            0.008566,            0.006566,            0.006566
                   3,            0.039824,            0.012405,            0.013402,             0.80165,              0.9668,             0.96851,             0.57046,            0.027836,           0.0049354,           0.0073674,             0.00505,             0.00505,             0.00505
                   4,            0.039174,            0.011502,             0.01194,             0.72564,               0.975,             0.94583,              0.6229,            0.024767,           0.0049075,           0.0069063,             0.00505,             0.00505,             0.00505
                   5,            0.036682,            0.011992,            0.013814,              0.9027,             0.95797,              0.9677,             0.72382,            0.021379,           0.0045475,           0.0069321,              0.0034,              0.0034,              0.0034
